id,word,weight
705,ejército,123.88
706,santa,123.82
707,cambios,123.79
708,río,123.78
709,sabía,123.71
710,seguro,123.59
711,espera,123.55
712,momentos,123.53
713,viaje,123.45
714,quería,123.4
715,ocho,123.34
716,vivir,123.34
717,región,123.04
718,formación,122.85
719,escuela,122.72
720,cuarto,122.71
721,valores,122.42
722,quedó,122.4
723,participación,121.9
724,éxito,121.88
725,baja,121.54
726,artículo,121.29
727,principales,121.19
728,fernando,121.05
729,metros,121.05
730,marcha,120.78
731,régimen,120.49
732,consecuencia,120.33
733,conocimiento,120.25
734,corazón,120.15
735,campaña,119.69
736,estructura,119.69
737,efectos,119.64
738,finalmente,119.5
739,modelo,119.43
740,carta,119.41
741,construcción,118.63
742,médico,118.53
743,miedo,118.3
744,mayores,117.83
745,entrada,117.69
746,humanos,117.44
747,sean,117.27
748,actitud,116.95
749,deja,116.92
750,dejó,116.85
751,d,116.74
752,llevar,116.66
753,negro,116.5
754,texto,116.11
755,mitad,116.05
756,estuvo,115.89
757,alrededor,115.62
758,acerca,115.35
759,peso,115.29
760,humano,115.24
761,pequeño,115.21
762,fecha,115.04
763,serán,114.9
764,doctor,114.88
765,ideas,114.67
766,vino,114.65
767,materia,114.5
768,llega,114.42
769,carrera,114.38
770,cierta,113.98
771,sola,113.8
772,psoe,113.79
773,lejos,113.65
774,juez,113.58
775,características,113.44
776,riesgo,113.2
777,fácil,112.77
778,diferencia,112.59
779,cultural,112.5
780,libros,112.38
781,práctica,112.36
782,mayo,112.23
783,nuestras,112.22
784,programas,112.2
785,memoria,111.97
786,llegado,111.77
787,plazo,111.27
788,expresión,111.2
789,diciembre,111.13
790,mantener,111.09
791,enero,110.96
792,volver,110.76
793,cuadro,110.71
794,producto,110.45
795,produce,110.41
796,europea,110.39
797,conciencia,110.31
798,tenían,110.19
799,atrás,110.03
800,felipe,110.0
801,creación,109.97
802,chile,109.91
803,precio,109.9
804,película,109.86
805,puerto,109.78
806,fuego,109.36
807,cuestión,109.24
808,pasó,109.09
809,costa,109.05
810,supuesto,109.05
811,local,108.85
812,habla,108.79
813,aspectos,108.6
814,cuba,108.58
815,sala,108.31
816,cámara,108.3
817,vuelta,108.29
818,vía,108.2
819,mirada,108.03
820,mejores,107.78
821,informe,107.73
822,unidad,107.67
823,distintos,107.59
824,suerte,107.43
825,tales,107.4
826,mira,107.06
827,llamado,106.92
828,técnica,106.89
829,título,106.89
830,s,106.79
831,principios,106.72
832,octubre,106.37
833,volvió,106.23
834,período,106.18
835,g,106.14
836,encontrar,105.96
837,democracia,105.92
838,aumento,105.82
839,fútbol,105.77
840,prueba,105.61
841,consumo,105.5
842,pese,105.15
843,ocasiones,105.04
844,exterior,104.79
845,solución,104.66
846,u,104.66
847,hija,104.6
848,sueño,104.51
849,parís,104.41
850,capaz,104.38
851,ocasión,104.37
852,industria,104.23
853,adelante,104.22
854,salida,104.21
855,ciencia,104.12
856,asunto,103.85
857,asociación,103.79
858,puso,103.77
859,intereses,103.76
860,oro,103.63
861,podrá,103.59
862,pregunta,103.18
863,oposición,103.14
864,entrar,102.98
865,señora,102.94
866,señaló,102.9
867,santiago,102.89
868,dolor,102.81
869,zonas,102.77
870,comercio,102.49
871,operación,102.47
872,tribunal,102.31
873,instituciones,102.29
874,temas,102.05
875,militares,102.03
876,junio,101.96
877,marco,101.91
878,sectores,101.86
879,hacerlo,101.85
880,aspecto,101.78
881,razones,101.77
882,contenido,101.47
883,juicio,101.47
884,electoral,101.37
885,considera,101.33
886,tendrá,101.14
887,mucha,100.92
888,voluntad,100.9
889,dicen,100.83
890,recuerdo,100.82
891,socialista,100.75
892,área,100.74
893,aparece,100.72
894,vio,100.51
895,cama,100.47
896,aun,100.4
897,presenta,100.38
898,pp,100.24
899,revolución,100.19
900,busca,100.15
901,abril,100.14
902,rodríguez,100.1
903,fiscal,100.06
904,lópez,99.92
905,victoria,99.9
906,violencia,99.86
907,primeras,99.8
908,pequeña,99.72
909,armas,99.32
910,debía,99.29
911,ii,99.12
912,esfuerzo,99.03
913,humana,99.02
914,posibilidades,98.91
915,centros,98.82
916,profesional,98.81
917,asimismo,98.63
918,grado,98.63
919,has,98.5
920,toma,98.34
921,distintas,97.83
922,material,97.76
923,carne,97.7
924,llama,97.68
925,particular,97.51
926,jorge,97.45
927,trabajar,97.25
928,propuesta,97.2
929,muerto,97.11
930,precios,97.07
931,reforma,96.87
932,hermano,96.59
933,corte,96.58
934,comenzó,96.57
935,etapa,96.46
936,obstante,96.32
937,pone,96.25
938,diversos,96.16
939,visita,96.09
940,concepto,96.07
941,pacientes,95.94
942,semanas,95.72
943,tipos,95.64
944,solamente,95.17
945,deseo,95.03
946,sistemas,94.94
947,encuentran,94.92
948,siguientes,94.88
949,martín,94.58
950,suficiente,94.48
951,marzo,94.44
952,propios,94.41
953,jamás,94.2
954,dan,94.15
955,club,94.12
956,instituto,94.08
957,constitución,93.72
958,curso,93.66
959,lenguaje,93.53
960,estilo,93.32
961,rosa,92.94
962,imposible,92.93
963,pablo,92.76
964,buscar,92.75
965,peor,92.71
966,piel,92.6
967,arriba,92.32
968,generales,92.24
969,septiembre,92.24
970,blanca,92.16
971,r,92.03
972,aquellas,91.74
973,teoría,91.34
974,animales,91.21
975,hicieron,91.19
976,larga,91.16
977,perdido,91.04
978,imágenes,91.02
979,paciente,91.01
980,conseguir,90.92
981,máximo,90.81
982,noviembre,90.77
983,j,90.66
984,líder,90.65
985,hospital,90.6
986,diversas,90.56
987,rafael,90.48
988,vuelve,90.45
989,destino,90.34
990,torno,90.33
991,proyectos,90.28
992,flores,90.21
993,niveles,90.18
994,afirmó,90.18
995,explicó,90.13
996,n,90.11
997,somos,89.97
998,términos,89.92
999,premio,89.8
1000,tercera,89.76
1001,simple,89.67
1002,trabajos,89.63
1003,factores,89.63
1004,fuente,89.53
1005,cielo,89.43
1006,ambas,89.22
1007,mismas,89.17
1008,fernández,89.07
1009,actualmente,89.06
1010,conocido,88.98
1011,condición,88.96
1012,ejercicio,88.76
1013,cree,88.62
1014,par,88.59
1015,ocurre,88.55
1016,ti,88.54
1017,espíritu,88.43
1018,lengua,88.41
1019,responsabilidad,88.3
1020,digo,88.19
1021,pérez,88.19
1022,distancia,88.13
1023,organismo,87.97
1024,cruz,87.8
1025,evolución,87.67
1026,realmente,87.66
1027,alberto,87.64
1028,francés,87.62
1029,novela,87.57
1030,alma,87.55
1031,doble,87.52
1032,anteriores,87.5
1033,obtener,87.48
1034,dije,87.48
1035,selección,87.47
1036,podido,87.4
1037,nación,87.38
1038,ido,87.38
1039,crear,87.1
1040,motivo,87.08
1041,tercer,87.07
1042,detrás,87.06
1043,significa,86.92
1044,empleo,86.86
1045,escrito,86.83
1046,departamento,86.73
1047,contacto,86.7
1048,casas,86.54
1049,red,86.54
1050,rostro,86.52
1051,oportunidad,85.88
1052,procesos,85.85
1053,terreno,85.84
1054,daba,85.84
1055,calles,85.71
1056,lista,85.6
1057,nacionales,85.6
1058,funciones,85.58
1059,leyes,85.51
1060,acceso,85.37
1061,técnico,85.35
1062,visión,85.26
1063,preguntó,85.19
1064,jesús,85.14
1065,grave,85.13
1066,tenga,84.9
1067,lunes,84.89
1068,aplicación,84.86
1069,junta,84.61
1070,lugares,84.6
1071,verano,84.53
1072,capítulo,84.47
1073,éstos,84.43
1074,pensamiento,84.38
1075,york,84.11
1076,frecuencia,84.07
1077,gestión,84.07
1078,viernes,83.83
1079,javier,83.75
1080,sitio,83.74
1081,agosto,83.71
1082,propiedad,83.69
1083,profesionales,83.67
1084,últimas,83.66
1085,gusta,83.56
1086,objetivos,83.54
1087,movimientos,83.24
1088,alcalde,83.2
1089,ejecutivo,83.11
1090,ciudadanos,83.08
1091,necesidades,83.06
1092,exposición,82.98
1093,término,82.88
1094,veinte,82.59
1095,cuál,82.56
1096,clara,82.55
1097,altura,82.49
1098,pequeños,82.44
1099,presión,82.39
1100,moral,82.32
1101,lograr,82.32
1102,comité,82.06
1103,teléfono,82.0
1104,asuntos,81.98
1105,peligro,81.92
1106,escena,81.77
1107,gusto,81.73
1108,palacio,81.73
1109,hotel,81.58
1110,colombia,81.47
1111,aseguró,81.45
1112,isla,81.41
1113,guardia,81.37
1114,confianza,81.33
1115,ciudades,81.26
1116,esperar,81.22
1117,café,80.97
1118,demanda,80.94
1119,personajes,80.82
1120,directamente,80.77
1121,salió,80.73
1122,discurso,80.69
1123,sánchez,80.69
1124,representantes,80.57
1125,normal,80.55
1126,pena,80.44
1127,jugadores,80.34
1128,supone,80.17
1129,industrial,80.1
1130,referencia,80.0
1131,febrero,79.96
1132,entender,79.93
1133,esté,79.91
1134,física,79.86
1135,dejado,79.79
1136,alimentos,79.78
1137,pies,79.76
1138,doña,79.7
1139,protección,79.63
1140,autores,79.51
1141,marido,79.36
1142,podrían,79.35
1143,llamada,79.24
1144,brazos,79.2
1145,intervención,79.17
1146,sal,79.15
1147,páginas,79.13
1148,nueve,79.0
1149,pueblos,78.97
1150,temporada,78.88
1151,tus,78.78
1152,abajo,78.56
1153,aquello,78.54
1154,maestro,78.49
1155,internacionales,78.48
1156,técnicas,78.44
1157,estás,78.31
1158,esposa,78.14
1159,crítica,78.05
1160,totalmente,77.96
1161,perder,77.93
1162,venta,77.88
1163,finales,77.83
1164,ramón,77.71
1165,contar,77.7
1166,diferencias,77.62
1167,familiar,77.62
1168,martínez,77.62
1169,kilómetros,77.59
1170,mala,77.57
1171,fundamental,77.47
1172,enorme,77.44
1173,puedan,77.44
1174,líneas,77.36
1175,ofrece,77.3
1176,comercial,77.28
1177,pan,77.24
1178,aires,77.22
1179,profesor,77.18
1180,inversión,77.03
1181,municipal,77.01
1182,declaraciones,76.92
1183,funcionarios,76.91
1184,aguas,76.9
1185,responsable,76.89
1186,sábado,76.79
1187,alguno,76.77
1188,federal,76.77
1189,señala,76.51
1190,conflicto,76.5
1191,dicha,76.42
1192,efe,76.42
1193,dirigentes,76.33
1194,cambiar,76.32
1195,superficie,76.24
1196,necesita,76.21
1197,estudiantes,76.04
1198,tantos,76.04
1199,golpe,75.83
1200,públicos,75.79
1201,públicas,75.78
1202,equipos,75.74
1203,literatura,75.49
1204,pruebas,75.39
1205,alemania,75.37
1206,circunstancias,75.24
1207,tienes,75.19
1208,documento,75.17
1209,fiesta,75.04
1210,simplemente,75.04
1211,enrique,75.0
1212,aceite,74.92
1213,establecer,74.92
1214,médicos,74.83
1215,eres,74.81
1216,locales,74.77
1217,empezó,74.72
1218,pobre,74.7
1219,debería,74.66
1220,llevó,74.65
1221,parlamento,74.47
1222,territorio,74.4
1223,sale,74.37
1224,treinta,74.36
1225,coche,74.31
1226,clases,74.27
1227,afirma,74.24
1228,oficiales,74.19
1229,diálogo,74.16
1230,vi,74.16
1231,respeto,73.97
1232,tratado,73.95
1233,llevaba,73.92
1234,revista,73.82
1235,copa,73.76
1236,pintura,73.68
1237,nombres,73.68
1238,propósito,73.67
1239,leche,73.67
1240,actualidad,73.6
1241,constituye,73.53
1242,tarea,73.51
1243,alcanzar,73.45
1244,competencia,73.44
1245,normas,73.33
1246,plata,73.26
1247,vecinos,73.23
1248,fenómeno,73.13
1249,intención,73.13
1250,dando,73.09
1251,diputados,73.06
1252,judicial,72.98
1253,cualquiera,72.91
1254,fe,72.85
1255,jornada,72.73
1256,italia,72.6
1257,ganar,72.58
1258,candidato,72.56
1259,calor,72.54
1260,esperanza,72.5
1261,recién,72.47
1262,suele,72.46
1263,miles,72.32
1264,ritmo,72.2
1265,vive,72.2
1266,quizás,72.17
1267,pasos,72.16
1268,sensación,72.15
1269,representación,72.13
1270,presidencia,72.12
1271,triunfo,72.11
1272,ayuntamiento,72.07
1273,plantas,72.03
1274,niña,72.01
1275,frío,71.99
1276,tono,71.99
1277,compañeros,71.93
1278,quieren,71.84
1279,pesos,71.78
1280,delante,71.76
1281,propias,71.76
1282,plano,71.7
1283,enfermedades,71.55
1284,institución,71.55
1285,edificio,71.45
1286,nota,71.44
1287,franco,71.42
1288,jugar,71.35
1289,the,71.32
1290,representa,71.21
1291,gesto,71.08
1292,mensaje,71.02
1293,vasco,70.99
1294,pudiera,70.87
1295,gómez,70.86
1296,influencia,70.86
1297,pocas,70.82
1298,realizado,70.75
1299,conducta,70.74
1300,objetos,70.7
1301,tamaño,70.64
1302,provincia,70.62
1303,europeo,70.59
1304,verde,70.58
1305,informó,70.56
1306,escribir,70.53
1307,materiales,70.52
1308,eduardo,70.51
1309,cumplir,70.5
1310,pidió,70.49
1311,alumnos,70.47
1312,ámbito,70.44
1313,muertos,70.44
1314,explica,70.43
1315,consecuencias,70.43
1316,refiere,70.27
1317,comer,70.24
1318,fines,70.09
1319,versión,69.88
